Slit Number,Measured By Taki using transmitted light,,Measure By Tom using transmitted light,,Measure By Tom using reflected light,
N,Top,Bottom,Top,Bottom,Top,Bottom
1,0.496,0.4974,0.5009,0.5003,0.5002,0.4991
2,0.1971,0.1954,0.201,0.1991,0.1996,0.199
3,0.0988,0.1015,0.1016,0.0976,0.0995,0.1001
4,0.0484,0.0509,0.052,0.051,0.0466,0.0497
5,0.0256,0.0234,0.0262,0.025,0.0241,0.0259
